Sl. No.,State/UT,2019,2020,2021,Mid-Year Projected Population (in Lakhs) (2021),Rate of Murder (2021),Chargesheeting Rate (2021)
1,Andhra Pradesh,870,853,956,528.5,1.8,91.7
2,Arunachal Pradesh,60,45,49,15.4,3.2,78.9
3,Assam,1235,1131,1192,351.6,3.4,46.8
4,Bihar,3138,3150,2799,1237,2.3,90
5,Chhattisgarh,913,972,1007,296.1,3.4,92.4
6,Goa,33,34,26,15.6,1.7,95.5
7,Gujarat,993,982,1010,700.8,1.4,92.3
8,Haryana,1137,1143,1112,296,3.8,73.7
9,Himachal Pradesh,70,91,86,74.1,1.2,85.1
10,Jharkhand,1626,1592,1573,386.4,4.1,84.6
11,Karnataka,1314,1331,1357,669.9,2,91.5
12,Kerala,323,306,337,355.4,0.9,93.5
13,Madhya Pradesh,1795,2101,2034,848.6,2.4,94.1
14,Maharashtra,2142,2163,2330,1247.6,1.9,91.9
15,Manipur,56,46,46,31.7,1.5,42.2
16,Meghalaya,68,79,80,33,2.4,40.6
17,Mizoram,22,28,24,12.2,2,91.3
18,Nagaland,25,25,27,22,1.2,75
19,Odisha,1356,1470,1394,457.9,3,81.1
20,Punjab,679,757,723,304,2.4,83.7
21,Rajasthan,1659,1719,1786,795.7,2.2,61.7
22,Sikkim,17,11,14,6.8,2.1,86.7
23,Tamil Nadu,1745,1661,1686,764.8,2.2,96.6
24,Telangana,839,802,1026,377.7,2.7,93.3
25,Tripura,144,114,122,40.8,3,80.5
26,Uttar Pradesh,3806,3779,3717,2317,1.6,84.6
27,Uttarakhand,199,160,208,114.4,1.8,79.1
28,West Bengal,1930,1948,1884,982.9,1.9,86
Total State(S),Total State(S),28194,28493,28605,13283.6,2.2,83.6
29,Andaman and Nicobar Islands,13,5,16,4,4,100
30,Chandigarh,26,22,17,12.1,1.4,80
31,Dadra and Nagar Haveli and Daman and Diu,13,13,14,11.1,1.3,93.3
32,Delhi,521,472,459,207,2.2,95.6
33,Jammu and Kashmir,119,149,136,134.4,1,79.9
34,Ladakh,NA,0,5,3,1.7,100
35,Lakshadweep,0,0,1,0.7,1.5,NA
36,Puducherry,29,39,19,15.8,1.2,97.3
Total UT(S),Total UT(S),721,700,667,388.1,1.7,92.1
Total All India,Total All India,28915,29193,29272,13671.8,2.1,83.8
